,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc10_std,mfcc12_std,mfcc14_std,mfcc16_std,mfcc17_std,mfcc19_std,mfcc20_std,mfcc1_delta_std,mfcc2_delta_std,mfcc3_delta_std,mfcc4_delta_std,mfcc5_delta_std,mfcc6_delta_std,mfcc7_delta_std,mfcc8_delta_std,mfcc10_delta_std,mfcc11_delta_std,mfcc19_delta_std,mfcc20_delta_std,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,songid,label
1,915c7b74-b5b5-416f-9704-7b16676421f8-1.wav,129.19921875,40758,690.8135593220339,0.4172108,0.29174456,0.3493034,0.269553,0.2324913,0.17111728,25.224125,171.76555,29503.406,-16.194515,78.329506,9.951884,17.382332,12.385391,-2.9109092,18.64697,-6.2073855,12.117805,5.5843043,2.4816744,6.473394,-0.34883612,2.4206638,2.4559152,1.1368304,4.7884374,4.4492655,1.7050112,6.3825207,45.514267,27.184727,22.40004,17.17856,13.794692,16.272192,13.723153,13.786317,12.193114,9.743795,9.390756,9.21618,9.57932,8.981898,9.159769,8.967075,5.3334203,4.008102,2.7131648,2.1146224,2.3507316,2.1680012,2.090515,1.5423764,1.4629453,1.4543056,1.5355601,0.32686433,0.085028276,0.007229808,2926.676998784784,931.7422734458931,868143.6641261216,3099.358247632934,460.22126777777356,211803.61531498114,19.06058588296082,5.175221175118477,26.78291421139467,6578.6852195905085,1984.0103463575408,3936297.054453769,3.4466840412207502,3.8287837078941767,14.659584681835879,-0.03766622208551515,0.1622339030458563,0.0263198392974923,0.100285107875387,0.050870122333071865,0.0025877693461816968,3.3457327e-05,0.27582818,0.076081194,0.00027116406,0.13484257,0.018182518,2.1339138321995463,1.0632584320586518,1.1305184933438228,user,user
2,915c7b74-b5b5-416f-9704-7b16676421f8-2.wav,129.19921875,41023,640.984375,0.42445838,0.29477084,0.40580952,0.26366434,0.24044214,0.15975265,22.85067,142.44759,20291.316,-0.75592554,77.40058,-5.742831,23.668903,11.714771,-0.46132222,15.756642,-3.9190571,6.0235577,-0.96751666,-3.7163804,0.28997084,-5.185726,-1.8140599,-3.9370964,1.9417249,2.2677948,0.46838596,-0.3944263,3.6774404,38.22696,24.301077,20.518469,21.946035,12.140893,16.602472,10.589902,17.742268,10.812051,10.684112,7.7005744,7.323504,7.5712814,7.97001,7.141943,5.4929914,4.722543,3.5027227,2.5631952,1.7254432,1.8732687,1.5611926,1.539239,1.5693595,1.3780555,1.0721318,1.1262496,0.31301248,0.08650968,0.007483925,2798.020461261291,790.6180886894953,625076.9621630305,2874.553511337906,507.7716676677417,257832.06648607954,18.985654201788776,5.291480760273451,27.9997686363441,6161.021078481763,1902.641707735425,3620045.4680143744,3.8536623640679464,4.263931855876418,18.181114871557714,-0.019021989534665974,0.13562861260969652,0.01839512055843113,0.11144981738583591,0.051907582331803113,0.002694397103532919,-1.1876445e-05,0.254871,0.06495923,-0.0002893463,0.119611286,0.014306859,2.262784580498866,1.368194820235616,1.8719570661195697,user,user
3,915c7b74-b5b5-416f-9704-7b16676421f8-3.wav,129.19921875,39770,631.2698412698413,0.33133507,0.2924927,0.3494956,0.27295464,0.22455476,0.18140699,20.991928,109.66755,12026.971,3.8600113,84.91435,-2.4230247,17.356346,11.272491,0.24928856,24.27817,-6.013692,14.732673,4.7738924,-0.6120173,-0.029635308,-4.0477967,1.1516509,-0.17637214,0.16461748,3.6035058,3.2137315,-0.6126879,4.294743,31.691538,19.108149,17.039772,12.56776,10.168625,11.039659,10.26886,11.898528,9.571518,11.903627,8.210756,6.923814,8.213375,7.7249928,8.345392,4.261853,3.4165397,2.9477262,2.1399395,1.559186,1.6845665,1.678097,1.4633625,1.4572084,1.2454003,1.1563693,1.3228356,0.30810788,0.065887064,0.004341105,2755.061864285156,660.3395634400609,436048.3390442103,2930.7092966428177,386.89766734843124,149689.80499965735,19.936421417137304,5.378814814143826,28.931648804853086,5936.247437657217,1767.1043429657511,3122657.758928419,3.9348860361028675,4.194296829559814,17.59212589445551,-0.023046957915797188,0.17860999685455986,0.03190153097638588,0.11936624721845976,0.03866228311405729,0.0014947721355915192,2.6537145e-05,0.25298324,0.06400052,-0.00023057163,0.10940712,0.011969917,1.5777959183673471,0.9132994399597059,0.8341158670307124,user,user
